Search query: randomi?ed controlled trial
Year,Count
2022,1
2021,5285
2020,6500
2019,5974
2018,5591
2017,5049
2016,4826
2015,4613
2014,4139
2013,3548
2012,3001
2011,2785
2010,2455
2009,2231
2008,2048
2007,1953
2006,1668
2005,1532
2004,1423
2003,1183
2002,933
2001,955
2000,759
1999,750
1998,660
1997,559
1996,495
1995,521
1994,442
1993,321
1992,258
1991,236
1990,227
1989,190
1988,163
1987,170
1986,186
1985,153
1984,124
1983,141
1982,100
1981,97
1980,41
1979,33
1978,30
1977,26
1976,29
1975,14
1974,5
1973,7
1972,8
1971,8
1970,3
1969,2
1968,2
1967,3
1966,1
1965,1
